id,name,latitude,longitude
9,"500 Hyde Street, Tenderloin, San Francisco",37.78584640898726,-122.41635294740908
20,"900 Sutter Street, Lower Nob Hill, San Francisco",37.78797246367878,-122.41850273420614
21,"3400 Pierce Street, Marina District, San Francisco",37.80226468151466,-122.4391368296301
30,"2200 Central Avenue, Alameda",37.766646954708506,-122.24752562212912
31,"5900 San Diego Street, El Cerrito",37.901142614383346,-122.30517355129064
43,"1600 Folsom Avenue, San Pablo",37.961073978659265,-122.35203852974082
44,"1700 Egbert Avenue, Bayview, San Francisco",37.72541692241299,-122.39777597514382
46,"500 Chester Street, West Oakland, Oakland",37.80642330282892,-122.29621968667922
55,"6100 Plymouth Avenue, Richmond",37.94559416218818,-122.31516916109007
56,"Wildcat Marsh Trail, Richmond",37.961530070375034,-122.37727233646297
57,"1700 Bayo Vista Avenue, San Pablo",37.95863919355879,-122.32363472545879
58,"5600 Genoa Street, Santa Fe, Oakland",37.841765708905925,-122.27232461667397
78,"1400 Thomas Avenue, Bayview, San Francisco",37.72779492091899,-122.38620972804303
79,"1500 California Street, Polk Gulch, San Francisco",37.79074289934632,-122.41908118002819
80,"0 Farren Street, Western Addition, San Francisco",37.78129365885055,-122.43735260585078
81,"0 Berkeley Way, Diamond Heights, San Francisco",37.740194029294585,-122.43926798640886
82,"2700 25th Street, Mission District, San Francisco",37.75176043445181,-122.40622989821786
90,"300 Heathcliff Drive, Westview, Pacifica",37.64863906252811,-122.47513609519132
96,"2200 Bonar Street, Poets Corner, Berkeley",37.86580573176509,-122.28632093853078
97,"600 Hilldale Avenue, Berkeley Hills, Berkeley",37.8993998497151,-122.2660956218187
98,"500 10th Street, Downtown Oakland, Oakland",37.80228190790604,-122.27549549104485
100,"3100 Overlook Way, Richmond",37.98310761880202,-122.32766712431435
101,"1300 17th Street, San Pablo",37.95427928738172,-122.35251792307737
102,"500 Mount Street, East Richmond, Richmond",37.93969603483148,-122.3222775864714
107,"1900 Sandcreek Way, Alameda",37.76153659188565,-122.25901218695907
109,"200 Ramona Avenue, El Cerrito",37.90457895959962,-122.29122325821521
113,"1200 Hayes Street, Western Addition, San Francisco",37.77509963049504,-122.43697572834449
117,"100 Edgemar Street, Crocker, Daly City",37.70544792458017,-122.444622597132
151,"500 20th Street, Downtown Oakland, Oakland",37.80875119939403,-122.27151793621138
165,"2200 Franklin Street, Pacific Heights, San Francisco",37.793781867324526,-122.42474784257918
181,"3400 Richmond Boulevard, Oakland Ave - Harrison St, Oakland",37.81768361176291,-122.26009569188324
186,"1800 Vicente Street, Sunset District, San Francisco",37.738507290486886,-122.48484194058842
191,"2600 Kelley Avenue, San Pablo",37.96903909667475,-122.35093697109724
194,"600 Aileen Street, Upper Telegraph, Oakland",37.841944944645924,-122.26488031807084
206,"1300 15th Street, Mission District, San Francisco",37.76800549314929,-122.41247897242607
207,"1100 Guerrero Street, Mission District, San Francisco",37.751586088644295,-122.4228458103086
208,"600 Alabama Street, Mission District, San Francisco",37.76072219179896,-122.41251427065863
209,"300 Wilde Avenue, Visitacion Valley, San Francisco",37.71649377222967,-122.40311155876583
210,"100 Ramsell Street, Oceanview, San Francisco",37.713337556938626,-122.46706916808702
211,"200 16th Avenue, Richmond District, San Francisco",37.783390465485745,-122.47547762945514
212,"500 Washington Street, Financial District, San Francisco",37.795560756235865,-122.40412835529129
225,"1900 Roosevelt Avenue, Belding Woods, Richmond",37.940280749930054,-122.35184004152315
233,"County Jail Road, San Bruno",37.62776540788406,-122.45993508388607
234,"100 Domestic Terminals Departures Level, San Francisco",37.62160751379974,-122.38279608730171
242,"0 El Pavo Real Circle, San Rafael",37.998915441919884,-122.54761260257825
243,"0 Charlotte Drive, San Rafael",37.966296606202334,-122.50485432219102
244,"San Quentin Terrace, San Quentin",37.94040709918767,-122.49062626351912
264,"300 Irwin Street, San Rafael",37.96099820217983,-122.52060580461382
283,"6100 San Pablo Avenue, Paradise Park, Oakland",37.84544896407102,-122.28339489168997
284,"300 45th Street, Temescal, Oakland",37.830498413045085,-122.25791828510377
285,"1600 Maritime Street, Oakland",37.819182050502036,-122.30490792256114
286,"1000 10th Street, West Oakland, Oakland",37.80569809253701,-122.28478885428646
291,"0 Rollingwood Drive, San Rafael",37.98657408576134,-122.47566300560207
299,"Chinatown / North Beach Campus, Russian Hill, San Francisco",37.80164054019786,-122.41567486850043
302,"0 Bass Court, Bayview, San Francisco",37.73442150557707,-122.38455285287212
311,"200 Northgate Avenue, Westlake, Daly City",37.70470404999641,-122.48796688250577
314,"200 Alta Mesa Drive, Serra Highlands, South San Francisco",37.65532330536123,-122.44611431641502
321,"Nimitz Freeway, Downtown Oakland, Oakland",37.79445767452119,-122.26646556018565
322,"300 Warwick Avenue, Adams Point, Oakland",37.813530918775854,-122.25366130291859
323,"900 Embarcadero West, West Oakland, Oakland",37.79662847497495,-122.29290165212524
386,"0 Sable Pointe, Alameda",37.742641167173794,-122.2478394818105
403,"800 Pine Lane, San Rafael",38.0177489574503,-122.56174099356573
408,"1800 Hillside Boulevard, Colma",37.678251219354394,-122.4496836310785
409,"200 Nelson Avenue, Edgemar - Pacific Manor, Pacifica",37.65196800080368,-122.48942282990939
410,"Baquiano Trail, Pacifica",37.594657087794154,-122.4626206478357
417,"4400 Bell Avenue, Eastshore, Richmond",37.916020333084575,-122.3230209813326
422,"1200 Paru Street, West Alameda, Alameda",37.76977927593791,-122.25825987185016
423,"200 Locust Avenue, San Rafael",37.98245830295774,-122.50895364070497
431,"Seaborg Road, Berkeley",37.87377867668893,-122.2546728407052
433,"600 Vanessa Drive, Central San Mateo, San Mateo",37.55811148231693,-122.30669459440433
434,"1300 Franklin Street, Western Addition, San Francisco",37.78744175911566,-122.42339658728132
443,"New Corona Heights Trail, The Castro, San Francisco",37.76485635589166,-122.43960725279292
